ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
758,"Martin, William; Sarro, Federica; Harman, Mark",Causal impact analysis applied to app releases in Google Play and Windows Phone Store,RN,journalArticle,2015,S,215,F,o,,,,,,,,,,,,,
759,"Iacob, Claudia; Harrison, Rachel",Retrieving and analyzing mobile apps feature requests from online reviews,Proceedings of the 10th Working Conference on Mining Software Repositories,conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
760,"Linares-Vásquez, Mario; Bavota, Gabriele; Bernal-Cárdenas, Carlos; Di Penta, Massimiliano; Oliveto, Rocco; Poshyvanyk, Denys",API change and fault proneness: a threat to the success of Android apps,Proceedings of the 2013 9th joint meeting on foundations of software engineering,conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
761,"McDonnell, Tyler; Ray, Baishakhi; Kim, Miryung",An empirical study of api stability and adoption in the android ecosystem,"Software Maintenance (ICSM), 2013 29th IEEE International Conference on",conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
762,"Linares-Vásquez, Mario; Bavota, Gabriele; Bernal-Cárdenas, Carlos; Oliveto, Rocco; Di Penta, Massimiliano; Poshyvanyk, Denys",Mining energy-greedy api usage patterns in android apps: an empirical study,Proceedings of the 11th Working Conference on Mining Software Repositories,conferencePaper,2014,S,215,F,o,,,,,,,,,,,,,
763,"Avdiienko, Vitalii; Kuznetsov, Konstantin; Gorla, Alessandra; Zeller, Andreas; Arzt, Steven; Rasthofer, Siegfried; Bodden, Eric",Mining apps for abnormal usage of sensitive data,Proceedings of the 37th International Conference on Software Engineering-Volume 1,conferencePaper,2015,S,215,F,o,,,,,,,,,,,,,
764,"Martin, William; Sarro, Federica; Jia, Yue; Zhang, Yuanyuan; Harman, Mark",A survey of app store analysis for software engineering,IEEE transactions on software engineering,journalArticle,2017,S,215,F,o,,,,,,,,,,,,,
765,"Bavota, Gabriele; Linares-Vasquez, Mario; Bernal-Cardenas, Carlos Eduardo; Di Penta, Massimiliano; Oliveto, Rocco; Poshyvanyk, Denys",The impact of api change-and fault-proneness on the user ratings of android apps,IEEE Transactions on Software Engineering,journalArticle,2015,S,215,F,o,,,,,,,,,,,,,
766,"Minelli, Roberto; Lanza, Michele",Software Analytics for Mobile Applications–Insights & Lessons Learned,"Software Maintenance and Reengineering (CSMR), 2013 17th European Conference on",conferencePaper,2013,S,215,F,o,,,,,,,,,,,,,
767,"Mojica, Israel J; Adams, Bram; Nagappan, Meiyappan; Dienst, Steffen; Berger, Thorsten; Hassan, Ahmed E",A large-scale empirical study on software reuse in mobile apps,IEEE software,journalArticle,2014,S,215,F,o,,,,,,,,,,,,,
768,"Shahbazian, Arman; Lee, Youn Kyu; Le, Duc; Medvidovic, Nenad",Uncovering Architectural Design Decisions,arXiv preprint arXiv:1704.04798,journalArticle,2017,S,218,F,o,,,,,,,,,,,,,
769,"Bagheri, Hamid; Kang, Eunsuk; Malek, Sam; Jackson, Daniel",A formal approach for detection of security flaws in the android permission system,Formal Aspects of Computing,journalArticle,2016,S,218,F,o,,,,,,,,,,,,,
770,"Schmerl, Bradley; Gennari, Jeff; Sadeghi, Alireza; Bagheri, Hamid; Malek, Sam; Cámara, Javier; Garlan, David",Architecture modeling and analysis of security in android systems,European Conference on Software Architecture,conferencePaper,2016,S,218,F,o,,,,,,,,,,,,,
771,"Yan, Ruibo; Xiao, Xi; Hu, Guangwu; Peng, Sancheng; Jiang, Yong",New deep learning method to detect code injection attacks on hybrid applications,Journal of Systems and Software,journalArticle,2018,S,218,F,o,,,,,,,,,,,,,
772,"Verdecchia, Roberto",Identifying Architectural Technical Debt in Android Applications through Automated Compliance Checking,,journalArticle,2018,S,218,F,o,,,,,,,,,,,,,
773,"Urbonas, Paulius",Detecting security related code by using software architecture,,journalArticle,2018,S,218,F,o,,,,,,,,,,,,,
774,"Malek, Sam; Cámara, Javier; Garlan, David",Architecture Modeling and Analysis of Security in Android Systems,"Software Architecture: 10th European Conference, ECSA 2016, Copenhagen, Denmark, November 28–December 2, 2016, Proceedings",conferencePaper,2016,S,218,F,o,,,,,,,,,,,,,
775,"Khan, Muhammad Abid; Alam, Iftikhar; Naeem, Muhammad; Khusro, Shah",There is no such thing as free Lunch: An Investigation of Bloatware Effects on Smart Devices,JOURNAL OF INFORMATION COMMUNICATION TECHNOLOGIES AND ROBOTICS APPLICATIONS (JICTRA).(Formally known as NICE Research Journal of Computer Science). ISSN# 2226-3683,journalArticle,2017,S,218,F,o,,,,,,,,,,,,,
776,"Hammad, Mahmoud M",Self-Protection of Android Systems from Inter-Component Communication Attacks DISSERTATION,,thesis,2018,S,218,F,o,,,,,,,,,,,,,
777,"Sabou, Marta; Ekaputra, Fajar J; Ionescu, Tudor; Musil, Juergen; Schall, Daniel; Haller, Kevin; Friedl, Armin; Biffl, Stefan",Exploring Enterprise Knowledge Graphs: A Use Case in Software Engineering,European Semantic Web Conference,conferencePaper,2018,S,218,F,o,,,,,,,,,,,,,
778,"Bagheri, Hamid; Wang, Jianghao; Aerts, Jarod; Malek, Sam","Efficient, Evolutionary Security Analysis of Interacting Android Apps",,journalArticle,,S,218,F,o,,,,,,,,,,,,,
779,"Sadeghi, Alireza",Efficient Permission-Aware Analysis of Android Apps DISSERTATION,,thesis,2017,S,218,F,o,,,,,,,,,,,,,
780,"Rochelle, Joseph","Enterprise Social Networking: Technology Acceptance Related to Personality, Age, and Gender",,thesis,2017,S,218,F,o,,,,,,,,,,,,,
781,"Hammad, Mahmoud; Bagheri, Hamid; Malek, Sam",Institute for Software Research,,journalArticle,2018,S,218,F,o,,,,,,,,,,,,,
782,"Garcia, Joshua; Malek, Sam",Institute for Software Research,,journalArticle,2016,S,218,F,o,,,,,,,,,,,,,
783,"Oliveira, J., Viggiato, M., Santos, M., Figueiredo, E., & Marques-Neto, H.",An empirical study on the impact of android code smells on resource usage.,International Conference on Software Engineering & Knowledge Engineering (SEKE).,,2018,S,552,F,o,,,,,,,,,,,,,
784,"Palomba, F., Di Nucci, D., Panichella, A., Zaidman, A., & De Lucia, A.",On the impact of code smells on the energy consumption of mobile applications,Information and Software Technology.,,2018,S,552,F,o,,,,,,,,,,,,,
785,G. Anthes,Invasion of the mobile apps”,Commun,,2011,S,552,B,o,,,,,,,,,,,,,
786,J. Voas          J. B. Michael M. van Genuchten,The mobile software app takeover” ,Software,,July 2012,S,552,B,o,,,,,,,,,,,,,
787,D. L. Parnas,Software aging,in ICSE '94: Proc. of the 16th Int'l conference on Software engineering,,1994,S,552,B,o,,,,,,,,,,,,,
788,S. G. Eick          T. L. Graves Karr Marron A. F. J. S. A. Mockus,Does code decay? assessing the evidence from change management data” ,Software Engineering,,2001,S,552,B,o,,,,,,,,,,,,,
789,M. Gottschalk          J. Jelschen Winter  A.,Energy-efficient code by refactoring” ,in Softwaretechnik Trends,,,S,552,B,o,,,,,,,,,,,,,
790,“,Android performance tips,,,June 2016,S,552,B,o,,,,,,,,,,,,,
791,F. Khomh          M. D. Penta Gueheneuc  Y.-G.,An exploratory study of the impact of antipatterns on class changeand fault-proneness”,Empirical Softw,,2012,S,552,B,o,,,,,,,,,,,,,
792,S. E. S. Taba          F. Khomh Zou Hassan Y. A. E. M. Nagappan,Predicting bugs using antipatterns”,in Proc. of the 29th Int'l Conference on Software Maintenance,,2013,S,552,B,o,,,,,,,,,,,,,
793,S. Olbrich          D. S. Cruzes Basili Zazworka V. N.,The evolution and impact of code smells: A case study of two open source systems” ,in 3rd Int'l Symposium on Empirical Software Engineering,,2009,S,552,B,o,,,,,,,,,,,,,
794,G. Hecht          B. Omar Rouvoy Moha R. N. L. Grunske    M. Whalen,Tracking the Software Quality of Android Applications along their Evolution”,in 30th IEEE/ACM International Conference on Automated Software Engineering ser. Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering (ASE,,2015,S,552,B,o,,,,,,,,,,,,,
795,A. Chatzigeorgiou          A. Manakos,Investigating the evolution of bad smells in object-oriented code,” in Quality of Information and Communications Technology (QUATIC),,2010,S,552,B,o,,,,,,,,,,,,,
796,N. Moha          Y.-G. Gueheneuc Duchien Le L. A.  Meur,Decor: A method for the specification and detection of code and design smells” ,Software Engineering,,2010,S,552,B,o,,,,,,,,,,,,,
797,R. Marinescu,Detection strategies: Metrics-based rules for detecting design flaws”,in IEEE Int'l Conference on Software Maintenance ICSM. IEEE Computer Society,,2004,S,552,B,o,,,,,,,,,,,,,
798,N. Tsantalis          T. Chaikalis Chatzigeorgiou  A.,JDeodorant: Identification and removal of type-checking bad smells,” in Software Maintenance and Reengineering,,2008,S,552,B,o,,,,,,,,,,,,,
800,C. Sahin          L. L. Pollock Clause ESEM J.,How do code refactorings affect energy usage?” ,in International Symposium on Empirical Software Engineering,,2014,S,552,B,o,,,,,,,,,,,,,
801,J. J. Park          J. Hong Lee  S.,Investigation for software power consumption of code refactoring techniques,” in The 26th International Conference on Software Engineering and Knowledge Engineering,,2013,S,552,B,o,,,,,,,,,,,,,
802,W. G. P. Silva          L. Correa Carro,Evaluation of the impact of code refactoring on embedded software efficiency,In Proceedings of the 1st Workshop de Sistemas Embarcados. Bonn: Gesellschaft fu¨ r Informatik,,2010,S,552,B,o,,,,,,,,,,,,,
803,G. Hecht          N. Moha Rouvoy  R.,An empirical study of the performance impacts of android code smells,in Proceedings of the International Workshop on Mobile Software Engineering and Systems,,2016,S,552,B,o,,,,,,,,,,,,,
804,P. Bourque          R. E. Fairley,Guide to the Software Engineering Body of Knowledge (SWEBOK (R)): Version 3.0,,,2014,S,552,B,o,,,,,,,,,,,,,
805,A. Ouni          M. Kessentini Sahraoui Boukadoum H. M.,Maintainability defects detection and correction: a multi-objective approach,Automated Software Engineering,,2013,S,552,B,o,,,,,,,,,,,,,
806,M. O'Keeffe and M. O. Cinne,´ide “Search-based software maintenance,” in Software Maintenance and Reengineering,,2006,S,552,B,o,,,,,,,,,,,,,
807,O. Seng          J. Stammel Burkhart  D.,Search-based determination of refactorings for improving the class structure of objectoriented systems,” GECCO 2006: Genetic and Evolutionary Computation Conference,,2006,S,552,B,o,,,,,,,,,,,,,
808,C. L. Simons          I. C. Parmee Gwynllyw  R.,Interactive evolutionary search in upstream object-oriented class design” Software Engineering,,,2010,S,552,B,o,,,,,,,,,,,,,
809,R. Mahouachi          M. Kessentini Cinne  M. O.,´ide Search-Based Refactoring Detection Using Software Metrics Variation,,,2013,S,552,B,o,,,,,,,,,,,,,
810,M. W. Mkaouer          M. Kessentini Bechikh Cinne S. M. O.,´ide A Robust Multi-objective Approach for Software Refactoring under Uncertainty,,,2014,S,552,B,o,,,,,,,,,,,,,
811,R. Morales          A. Sabane Musavi Khomh P. F. F. Chicano,Finding the best compromise between design quality and testing effort during refactoring,2016 IEEE 23rd International Conference on Software Analysis Evolution and Reengineering (SANER),,,S,552,B,o,,,,,,,,,,,,,
812,M. Gottschalk,Energy refactorings” Master's thesis,,,2013,S,552,B,o,,,,,,,,,,,,,
813,W. J. Brown Malveau          W. H. Brown McCormick Mowbray III T. J.          R. C.,Anti Patterns: Refactoring Software Architectures and Projects,,,1998,S,552,B,o,,,,,,,,,,,,,
814,M. Fowler,Refactoring - Improving,the Design of Existing Code,,June 1999,S,552,B,o,,,,,,,,,,,,,
815,R. Morales          Z. Soh Khomh Chicano F. F.,On the use of developers context for automatic refactoring of software anti-patterns,” Journal of Systems and Software,,2016,S,552,B,o,,,,,,,,,,,,,
816,R. K. Yin,Case Study Research: Design and Methods - Third Edition,,,2002,S,552,B,o,,,,,,,,,,,,,
817,W. Martin          M. Harman Jia Sarro Y. F. Y. Zhang     Piscataway,The app sampling problem for app store mining,in Proceedings of the 12th Working Conference on Mining Software Repositories ser. MSR '15,,2015,S,552,B,o,,,,,,,,,,,,,
818,F. Palomba          M. D. Penta Oliveto Lucia R. A. D.,Do they really smell bad? a study on developers' perception of bad code smells” in Software Maintenance and Evolution (ICSME,2014 IEEE Int'l Conference on. IEEE,,2014,S,552,B,o,,,,,,,,,,,,,
819,M. Linares-Va          C. McMillan Sabane Poshyvanyk A. D. Y.-G. Gue    C. K. Roy      A. Begel,´he´neuc “Domain matters: bringing further evidence of the relationships among anti-patterns application domains and quality-related metrics in Java mobile apps,in Proceedings of the 22nd International Conference on Program Comprehension,,2014,S,552,B,o,,,,,,,,,,,,,
820,D. Verloop,Code Smells in the Mobile Applications Domain,,,2013,S,552,B,o,,,,,,,,,,,,,
821,M. Fokaefs          N. Tsantalis Chatzigeorgiou  A.,Jdeodorant: Identification and removal of feature envy bad smells,,,2007,S,552,B,o,,,,,,,,,,,,,
822,J. Reimann          M. Brylski,A tool-supported quality smell catalogue for android developers,” Softwaretechnik-Trends,,2014,S,552,B,o,,,,,,,,,,,,,
823,J. Reimann          M. Seifert,On the reuse and recommendation of model refactoring specifications,” Software and System Modeling,,2013,S,552,B,o,,,,,,,,,,,,,
824,K. Aggarwal          A. Hindle,GreenAdvisor: A tool for analyzing the impact of software evolution on energy consumption” in ICSME,,,2015,S,552,B,o,,,,,,,,,,,,,
825,I. Polato          D. Barbosa Hindle Kon A. F.,Hybrid HDFS: decreasing energy consumption and speeding up hadoop using ssds” PeerJ PrePrints,,,2015,S,552,B,o,,,,,,,,,,,,,
826,C. Pang          A. Hindle Adams Hassan B. A. E.,What do programmers know about the energy consumption of software?” PeerJ PrePrints,,,2015,S,552,B,o,,,,,,,,,,,,,
827,C. Zhang          A. Hindle Germa  D. M.,´n “The impact of user choice on energy consumption,” IEEE Software,,2014,S,552,B,o,,,,,,,,,,,,,
828,K. Rasmussen           A Hindle  A.,Green mining: energy consumption of advertisement blocking methods,,,2014,S,552,B,o,,,,,,,,,,,,,
829,A. Hindle           A Rasmussen Barlow K. E. J. J. C. Campbell    S. Romansky,Greenminer: A hardware based mining software repositories software energy consumption framework,in Proceedings of the 11th Working Conference on Mining Software Repositories ser. MSR,,2014,S,552,B,o,,,,,,,,,,,,,
830,A. Pathak          Y. C. Hu Zhang Bellosa M. F.,Where is the energy spent inside my app?: fine grained energy accounting on smartphones with eprof” in EuroSys P,,,2012,S,552,B,o,,,,,,,,,,,,,
831,S. Hao          D. Li Halfond Govindan W. G. J. R.,Estimating Mobile Application Energy Consumption using Program Analysis”,in Proceedings of the 35th International Conference on Software Engineering (ICSE),,May 2013,S,552,B,o,,,,,,,,,,,,,
832,M. Linares-Vsquez          G. Bavota Bernal-Crdenas Oliveto C. R. M. Di Penta    D. Poshyvanyk,Mining Energy-greedy API Usage Patterns in Android Apps: An Empirical Study,in Proceedings of the 11th Working Conference on Mining Software Repositories ser. MSR,,2014,S,552,B,o,,,,,,,,,,,,,
833,R. Saborido          G. Beltrame Khomh Reengineering F.,Optimizing User Experience in Choosing Android Applications,in Proceedings of the 23rd IEEE International Conference on Software Analysis,,Mar,S,552,B,o,,,,,,,,,,,,,
834,C. Sahin          F. Cayci Gutie Clause I. L. M. F. E. L. L. Kiamilev    K. Pollock       Winbladh,Initial explorations on design pattern energy usage.” in GREENS,,,2012,S,552,B,o,,,,,,,,,,,,,
835,G. Pinto,A Refactoring Approach to Improve Energy Consumption of Parallel Software Systems,,,2015,S,552,B,o,,,,,,,,,,,,,
836,G. Pinto          F. Soares-Neto Filho  F. C.,Refactoring for energy efficiency: A reflection on the state of the art,” in 4th IEEE/ACM International Workshop on Green and Sustainable Software GREENS,,2015,S,552,B,o,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
,,,,,,S,,,,,,,,,,,,,,,,
